"","Mean","2.5%","97.5%","species"
"intercept",-0.594107171827158,-2.13960835180769,0.953365823355084,"Crinia.sig"
"log10.p_area",0.551662191388244,0.108453134964763,1.00990232201275,"Crinia.sig"
"vertical.wall",-4.27880574347407,-9.1906186265158,-1.61908003030544,"Crinia.sig"
"road.density",-8.92571406589095,-13.5218298347533,-3.98150983701611,"Crinia.sig"
"intercept1",-1.08729022505082,-2.79038484958884,0.56762964597577,"Lim.dumer"
"log10.p_area1",0.230768448954486,-0.242237864101143,0.70853495938037,"Lim.dumer"
"vertical.wall1",-3.08971338103253,-7.16621630816865,-0.428760302667053,"Lim.dumer"
"road.density1",-5.54659490776948,-10.417670674303,-0.958396529961575,"Lim.dumer"
"intercept2",-0.0447085827688312,-1.14788492071755,1.0368578258283,"Lim.peron"
"log10.p_area2",0.0533685016140609,-0.246806018115633,0.383818619607829,"Lim.peron"
"vertical.wall2",-0.848388728941524,-1.6152738967547,-0.150566014585982,"Lim.peron"
"road.density2",-4.32786504127563,-8.66581199973953,-0.274412461041163,"Lim.peron"
"intercept3",-1.77350459790108,-3.51048031577161,-0.0637102879402314,"Lim.tas"
"log10.p_area3",0.64469025692514,0.144161523789456,1.15774045823727,"Lim.tas"
"vertical.wall3",-3.42284796084207,-6.48595723687806,-0.946583335923758,"Lim.tas"
"road.density3",-7.59515079968532,-12.2557071434657,-2.87673464443262,"Lim.tas"
"intercept4",0.320119016411725,-1.38006900828979,1.85908062181587,"Para.has"
"log10.p_area4",-0.196792645329965,-0.684869008386015,0.330910709013486,"Para.has"
"vertical.wall4",-3.23733103459594,-6.84606049457413,-0.621546048604241,"Para.has"
"road.density4",-8.73519967405583,-13.5704211166986,-4.09402039716282,"Para.has"
"intercept5",-0.646176999271753,-1.6030512695038,0.244302525500324,"Lit.ewing"
"log10.p_area5",0.313831350707623,0.0644525802816288,0.584022531773649,"Lit.ewing"
"vertical.wall5",0.460809182908606,-0.192589451524956,1.18255808500566,"Lit.ewing"
"road.density5",-3.53402643765026,-8.06578696935704,1.10083862990897,"Lit.ewing"
"intercept6",-0.973914816600362,-2.64128176366736,0.579350054425103,"Lit.verr"
"log10.p_area6",0.201649346997055,-0.268762172367543,0.691676801842041,"Lit.verr"
"vertical.wall6",-4.00815735523998,-8.11843205705828,-0.923378656105219,"Lit.verr"
"road.density6",-5.9043973711814,-10.2987115931462,-1.2816609003937,"Lit.verr"
"intercept7",-3.36651525948959,-6.59516430096296,-0.845234575095434,"Lit.peron"
"log10.p_area7",0.433499108175162,-0.275087090145059,1.26439885978577,"Lit.peron"
"vertical.wall7",-3.12108668644273,-8.3068959018754,0.549783097809672,"Lit.peron"
"road.density7",-2.13349085928628,-8.2472911777192,3.59052141834774,"Lit.peron"
"intercept8",-4.28039183161429,-7.84253501948083,-1.48052657582603,"Lit.rani"
"log10.p_area8",0.579897578249813,-0.134065763562502,1.43925753238235,"Lit.rani"
"vertical.wall8",-1.73330710648556,-5.29862484039507,0.739584019427815,"Lit.rani"
"road.density8",2.83938183230855,-3.71271993010349,9.23304147336838,"Lit.rani"
