"","mean","lower","upper"
"Lim.dumer_Crinia.sig",0.165481492511818,-0.17086483920903,0.463808490038026
"Lim.peron_Crinia.sig",0.196084787086703,-0.118833281036977,0.485411550796452
"Lim.peron_Lim.dumer",0.20120941855022,-0.0890464900666788,0.467561138960483
"Lim.tas_Crinia.sig",0.0453531988663195,-0.284566278011832,0.365720725006275
"Lim.tas_Lim.dumer",0.0984030946482291,-0.226160973104878,0.398853527227673
"Lim.tas_Lim.peron",0.088569383816947,-0.247320548365085,0.396283226954596
"Para.has_Crinia.sig",0.221338810804235,-0.129283757584899,0.53407678374563
"Para.has_Lim.dumer",0.305632687132077,-0.010850239792081,0.568735978577865
"Para.has_Lim.peron",0.172159231758078,-0.146446578704201,0.450275618927521
"Para.has_Lim.tas",0.0659635994635406,-0.24373180893473,0.366241635046476
"Lit.ewing_Crinia.sig",0.256562841196393,-0.0724467894266527,0.548255830731998
"Lit.ewing_Lim.dumer",0.32878924147522,0.00927037140512799,0.587245918099874
"Lit.ewing_Lim.peron",0.226545780272007,-0.04914379827615,0.499826775961595
"Lit.ewing_Lim.tas",-0.0553075045771299,-0.355246293215093,0.280450508208819
"Lit.ewing_Para.has",0.286585436045576,-0.0079760737319402,0.570503732384323
"Lit.verr_Crinia.sig",0.312692972095681,-0.0307993747885599,0.577242945912932
"Lit.verr_Lim.dumer",0.322775497041426,0.0437386338718388,0.573635763095602
"Lit.verr_Lim.peron",0.319610767761549,0.0191019354953677,0.565268645022235
"Lit.verr_Lim.tas",0.0216405544381932,-0.291134212263472,0.33550771221658
"Lit.verr_Para.has",0.283910299190921,0.00355522711106381,0.535321020200835
"Lit.verr_Lit.ewing",0.44216276868209,0.164934502886618,0.667051802685222
"Lit.peron_Crinia.sig",0.201555462137697,-0.194107096325806,0.50444509784476
"Lit.peron_Lim.dumer",0.192887438675274,-0.19820965001443,0.515543271942239
"Lit.peron_Lim.peron",0.216976541836016,-0.146888759212145,0.521047665225947
"Lit.peron_Lim.tas",-0.00668552165585475,-0.356554538711252,0.339315660969883
"Lit.peron_Para.has",0.20190956491331,-0.152699196351053,0.529114688021873
"Lit.peron_Lit.ewing",0.26597398868271,-0.139008991611785,0.59071505752902
"Lit.peron_Lit.verr",0.30511958736891,-0.112706841454108,0.618423143247916
"Lit.rani_Crinia.sig",-0.111452648081745,-0.438489528154571,0.276894705237335
"Lit.rani_Lim.dumer",-0.147804726465887,-0.496354020966674,0.259214506810967
"Lit.rani_Lim.peron",-0.0603957306354486,-0.4266192813401,0.319384433173066
"Lit.rani_Lim.tas",-0.0158831534974945,-0.373028896839398,0.364961367927898
"Lit.rani_Para.has",-0.122855052668851,-0.474375178136616,0.259378702058372
"Lit.rani_Lit.ewing",-0.176516037892713,-0.52375120009585,0.243575460884456
"Lit.rani_Lit.verr",-0.155690284186002,-0.5169591651767,0.273449663556711
"Lit.rani_Lit.peron",-0.109952180169711,-0.504887825196537,0.283800278782379
