"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",0,0.108721950442724,0.0979096335347805,0.154423193785572,0.149098999336992,0.171369979084368,0.132147724372972,0.172498478116816,0.188301741069623,0.17717267641113,0.150777639489123,0.107953882163849,0.159445304493149,0.268243322323095,0.198806842019665,0.187382949093625
"Culex_modestus",0.108721950442724,0,0.213873159779481,0.0958019429362672,0.115901358052744,0.146226342254263,0.0883203849169641,0.141960141511,0.184496723735499,0.151229567847355,0.13413943594132,0.207696393991013,0.131562754026225,0.185660051570232,0.199977917383223,0.169873079328926
"Culiseta_annulata",0.0979096335347805,0.213873159779481,0,0.206895175690067,0.180295762353243,0.179741625709414,0.180297851757436,0.205636138990126,0.184487643995398,0.220109153976509,0.202391056989505,0.209744251203451,0.198547260500503,0.346319127083021,0.183385335923011,0.2449454947573
"Anopheles_maculipennis_sl",0.154423193785572,0.0958019429362672,0.206895175690067,0,0.103210038855627,0.111598722785018,0.0978881065528486,0.109997937379674,0.142885320376344,0.120251839895085,0.124572790988129,0.196749971744616,0.112368217504544,0.15126201020226,0.152176605066611,0.151393634707856
"waterboatmen__Corixidae",0.149098999336992,0.115901358052744,0.180295762353243,0.103210038855627,0,0.0978104658771494,0.102594618618468,0.101714434943975,0.120366610898475,0.107662663175567,0.120992254259028,0.159895427320616,0.102727606321292,0.137027669737008,0.129934919129583,0.131045738216208
"diving_beetles__Dysticidae",0.171369979084368,0.146226342254263,0.179741625709414,0.111598722785018,0.0978104658771494,0,0.116710855561382,0.0937997162741276,0.0788384097359326,0.101230323996636,0.120763139810232,0.181875875551141,0.104958361754302,0.136556623913281,0.0912081044762108,0.129707199578248
"damselflies__Zygoptera",0.132147724372972,0.0883203849169641,0.180297851757436,0.0978881065528486,0.102594618618468,0.116710855561382,0,0.118261902272212,0.13643544044672,0.12864566585413,0.12106829762645,0.204986239961814,0.113313982168858,0.165809257791131,0.151620094622509,0.14558386134417
"swimming_beetles__Haliplidae",0.172498478116816,0.141960141511,0.205636138990126,0.109997937379674,0.101714434943975,0.0937997162741276,0.118261902272212,0,0.0974959233059243,0.113827755577242,0.123309696693382,0.191430390292693,0.105630027509234,0.151131867442537,0.115349063768183,0.140138865169501
"opossum_shrimps__Mysidae",0.188301741069623,0.184496723735499,0.184487643995398,0.142885320376344,0.120366610898475,0.0788384097359326,0.13643544044672,0.0974959233059243,0,0.100364656719035,0.131860234466335,0.213490568744563,0.115808152133259,0.164754449693945,0.0838394208319597,0.157928006834456
"ditch_shrimp__Gammarus",0.17717267641113,0.151229567847355,0.220109153976509,0.120251839895085,0.107662663175567,0.101230323996636,0.12864566585413,0.113827755577242,0.100364656719035,0,0.134528658230704,0.20813991468448,0.11777649443715,0.167051217994069,0.118379718969274,0.143003212503537
"beetle_larvae__Coleoptera",0.150777639489123,0.13413943594132,0.202391056989505,0.124572790988129,0.120992254259028,0.120763139810232,0.12106829762645,0.123309696693382,0.131860234466335,0.134528658230704,0,0.218550462176464,0.125310621945857,0.191540193702367,0.14858110870679,0.163632030079663
"dragonflies__Anisoptera",0.107953882163849,0.207696393991013,0.209744251203451,0.196749971744616,0.159895427320616,0.181875875551141,0.204986239961814,0.191430390292693,0.213490568744563,0.20813991468448,0.218550462176464,0,0.173878572864548,0.289503317289999,0.225107658888178,0.213697590441751
"mayflies__Ephemeroptera",0.159445304493149,0.131562754026225,0.198547260500503,0.112368217504544,0.102727606321292,0.104958361754302,0.113313982168858,0.105630027509234,0.115808152133259,0.11777649443715,0.125310621945857,0.173878572864548,0,0.149383305462375,0.13273825561097,0.143310833890798
"newts__Pleurodelinae",0.268243322323095,0.185660051570232,0.346319127083021,0.15126201020226,0.137027669737008,0.136556623913281,0.165809257791131,0.151131867442537,0.164754449693945,0.167051217994069,0.191540193702367,0.289503317289999,0.149383305462375,0,0.183075179006363,0.187945196480492
"fish",0.198806842019665,0.199977917383223,0.183385335923011,0.152176605066611,0.129934919129583,0.0912081044762108,0.151620094622509,0.115349063768183,0.0838394208319597,0.118379718969274,0.14858110870679,0.225107658888178,0.13273825561097,0.183075179006363,0,0.176187280882014
"saucer_bugs__Ilyocoris",0.187382949093625,0.169873079328926,0.2449454947573,0.151393634707856,0.131045738216208,0.129707199578248,0.14558386134417,0.140138865169501,0.157928006834456,0.143003212503537,0.163632030079663,0.213697590441751,0.143310833890798,0.187945196480492,0.176187280882014,0
