Covariate_1,Covariate_2,Covariate_3,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6,Species_7,Species_8,Species_9,y,x
3.870111155,0,0.045334,1,0,0,0,0,0,0,0,0,66.41478551,9.25642386
3.326949994,1,0.115903,0,0,0,0,0,1,0,0,0,67.03841045,9.025588196
2.85672889,1,0.147034,0,0,0,0,0,1,0,0,0,67.03855163,9.029415848
1.62324929,1,0.124283,0,0,0,0,0,1,0,0,0,67.04200279,9.029745277
4.629684769,1,0.081655,0,0,0,0,0,1,0,0,0,67.04438723,9.026513735
0.698970004,1,0.107048,0,0,0,0,0,0,0,0,0,67.03894381,9.023580247
2.257678575,0,0.1214,0,0,1,0,0,1,0,0,0,67.05030127,9.020129085
1.531478917,0,0.131941,0,0,1,0,0,0,0,0,0,67.05097581,9.018670185
1.397940009,1,0.120928,0,0,1,0,0,0,0,0,0,67.05514858,9.015846507
1.041392685,1,0.131941,0,0,0,0,0,1,0,0,0,67.05541526,9.011752174
2.089905111,1,0.1264,0,0,1,0,0,0,0,0,0,67.05579175,9.012567904
1.361727836,1,0.1214,0,0,1,0,0,0,0,0,0,67.05678004,9.012458094
0.301029996,1,0.132417,0,0,0,0,0,0,0,0,0,67.04438723,9.081198962
0.698970004,1,0.132417,0,0,0,0,0,0,0,0,0,67.04424605,9.082626488
3.750816843,1,0.133624,0,0,0,0,0,0,0,0,0,67.04383818,9.083332408
2.399673721,0,0.150862,0,0,0,0,0,0,0,0,0,67.04553239,9.083379469
1.986771734,1,0.159969,0,0,0,0,0,0,0,0,0,67.04567358,9.082469617
3.044931546,1,0.201872,0,0,0,0,0,1,0,0,0,67.0457677,9.08218725
3.377488383,1,0.170021,0,0,0,0,0,1,0,0,0,67.04634812,9.082516679
1.591064607,1,0.1535,0,0,0,0,0,1,0,0,0,67.04634812,9.08256374
2.330413773,1,0.166669,0,0,0,0,0,0,0,0,0,66.97094023,9.089983738
1.447158031,1,0.2445,0,0,0,0,0,0,0,0,0,66.97355998,9.093827077
3.103461622,0,0,1,1,1,1,1,1,0,0,1,66.97999169,9.119820601
2.699837726,0,0.005507,1,1,1,0,1,1,0,0,1,66.97738763,9.127444531
3.832955751,0,0.02038,1,1,1,1,0,1,0,0,1,67.08390304,9.009367735
2.687528961,0,0.028972,1,0,1,0,0,1,0,0,1,67.08448346,9.01291302
2.769377326,0,0,1,0,1,1,0,0,0,0,0,67.08616198,9.013540504
2.707570176,0,0,1,1,1,1,1,1,0,0,1,67.085158,9.011532555
2.482873584,0,0,1,1,0,1,1,1,0,0,1,67.08153428,9.007689216
3.671635597,0,0,1,0,1,1,0,1,0,0,1,66.53174852,9.437939285
4.017283822,0,0,1,0,1,1,0,1,0,0,1,66.53482319,9.438802075
3.409595019,0,0,1,1,1,1,1,1,1,0,1,66.53565461,9.434441062
3.1752218,0,0.007662,1,1,0,0,1,1,0,0,1,66.53361528,9.431382077
3.679246145,0,0,1,1,1,1,0,1,0,0,1,66.52600704,9.430550661
2.598790507,0,0,1,1,1,1,1,1,0,0,0,66.52487757,9.426911254
2.298853076,0,0,1,1,1,1,1,1,0,0,1,66.5171752,9.433295903
4.100852827,0,0,1,1,1,1,1,1,0,0,0,66.51099449,9.432354677
3.137354111,0,0.032807,1,0,0,0,0,1,0,0,0,66.51010032,9.440653153
2.928395852,0,0.055076,1,0,0,0,0,0,0,0,0,66.50955127,9.443006218
3.122543524,0,0.079983,1,0,1,1,1,1,0,0,1,66.53167008,9.436919623
2.338456494,0,0.007662,1,0,1,0,1,0,0,0,0,66.51035132,9.445814209
3.557386882,0,0.005507,1,0,0,1,1,0,0,0,0,66.51593592,9.441578692
3.293583513,0,0,1,0,0,0,1,1,0,0,1,66.51485351,9.438441272
2.440909082,0,0,1,1,0,1,1,1,0,0,0,66.51864979,9.438802075
3.515211304,0,0.004431,1,0,0,0,0,1,0,0,0,66.52585017,9.450598774
3.592287816,0,0,1,0,1,0,1,1,0,0,0,66.53221913,9.452230232
1.716003344,0,0.021548,0,0,0,0,0,0,0,0,0,66.53184264,9.45721873
2.181843588,1,0.146072,0,0,0,0,0,1,0,0,0,66.53221913,9.437123556
2.95568775,1,0.113269,0,0,0,0,0,1,0,0,0,66.53348979,9.437358862
1.462397998,1,0.113269,0,0,0,0,0,0,0,0,0,66.53261131,9.43947662
2.225309282,1,0.134821,0,0,0,0,0,1,0,0,0,66.53443101,9.441515943
2.103803721,0,0.112552,0,0,0,0,0,1,0,0,0,66.53054061,9.436166643
2.344392274,1,0.119972,0,0,0,0,0,1,0,0,0,66.52745025,9.437186304
1.462397998,1,0.119972,0,0,0,0,0,1,0,0,0,66.53322311,9.432417426
1.414973348,1,0.119972,0,0,0,0,0,0,0,0,0,67.07681247,9.024772467
1.698970004,0,0.119972,0,0,0,0,0,0,0,0,0,67.07383192,9.023627308
2.911157609,0,0.145593,1,0,0,0,0,1,0,0,0,67.07428684,9.023690057
3.324693914,1,0.142728,0,0,0,0,0,1,0,0,0,67.0749457,9.027658893
4.412913926,0,0.076141,1,0,1,1,0,1,0,0,0,67.07201221,9.023611621
4.087745935,0,0.061179,1,0,1,1,0,0,0,0,0,67.07041213,9.023580247
2.515873844,1,0.069679,0,0,1,0,0,0,0,0,0,67.06945522,9.023329254
2.155336037,1,0.099138,0,0,0,0,0,1,0,0,0,67.06997289,9.021650734
1.886490725,1,0.117338,0,0,0,0,0,1,0,0,0,67.07071019,9.021760544
3.100715087,1,0.124397,0,0,0,0,0,1,0,0,0,67.07082,9.018262321
2.797959644,1,0.151103,0,0,0,0,0,1,0,0,0,67.14740441,8.980801528
4.708454894,0,0.101045,1,0,1,1,0,0,0,1,0,66.85179672,9.167399572
3.508260306,0,0.103683,0,0,0,1,0,0,0,0,0,66.85223596,9.16887416
3.678062905,0,0.109679,1,0,0,0,0,0,0,0,0,66.85391447,9.169658515
3.363423933,0,0.101297,1,0,1,0,0,1,0,0,1,66.9977338,9.100509782
4.398061594,0,0.168341,1,0,1,0,0,1,1,0,1,67.02512348,8.876937244
4.909764569,0,0.015807,1,1,0,1,0,0,0,0,0,67.0266765,8.879039315
4.286209386,0,0.011266,1,0,0,1,0,0,0,0,0,66.72131143,9.471431241
4.529212126,0,0.026552,1,0,0,1,0,0,0,0,0,66.62921247,9.707835826
2.240549248,0,0.019159,1,0,0,1,0,0,0,0,0,66.63653834,9.706078871
3.812512284,0,0.019159,1,0,0,1,0,0,0,0,0,66.88117865,8.74333022
3.047274867,1,0.142483,0,0,0,0,0,0,0,0,0,66.87984525,8.749165821
4.174205227,0,0.165952,0,0,0,0,0,0,0,0,0,66.88641814,8.741479143
2.494154594,1,0.149662,0,0,0,0,0,1,0,0,0,66.8844102,8.750452164
3.177247836,1,0.132276,0,0,0,0,0,1,0,0,0,66.88453569,8.752413051
3.314499228,1,0.142162,0,0,0,0,0,1,0,0,0,67.13135651,8.996441566
4.097465554,0,0.116831,0,1,1,0,0,1,0,0,0,67.15976585,8.944250587
2.788875116,0,0.11949,1,0,0,0,0,0,0,0,0,67.07925965,9.379144037
2.82672252,0,0.136969,0,0,0,0,0,1,0,0,0,67.11016324,8.974573749
3.750662646,1,0.1422,0,0,0,0,0,1,0,0,0,67.10843766,8.99079421
3.003891166,0,0.113266,1,1,1,0,0,1,0,0,1,66.45271691,9.280644741
3.913442955,0,0.121883,0,0,0,0,0,0,0,1,0,66.45058347,9.283327235
1.204119983,1,0.170497,0,0,0,0,0,0,0,0,0,67.05477209,9.212437234
3.087426457,1,0.165224,0,0,0,0,0,1,0,0,0,66.92800464,9.103960943
0.477121255,1,0.12979,0,0,0,0,0,0,0,0,0,67.10051567,8.994966978
1.477121255,0,0.185103,0,0,0,0,0,0,0,0,0,67.09591935,8.99333552
1.041392685,1,0.185103,0,0,0,0,0,0,0,0,0,67.09554286,8.993868881
0.903089987,1,0.185103,0,0,0,0,0,0,0,0,0,67.09566836,8.993868881
1.113943352,0,0.12979,0,0,0,0,0,1,0,0,0,67.10023331,8.99490423
0.77815125,1,0.12979,0,0,0,0,0,0,0,0,0,67.09968426,8.994496365
0.84509804,1,0.158041,0,0,0,0,0,0,0,0,0,67.09973132,8.994355181
0.77815125,0,0.148945,0,0,0,0,0,0,0,0,0,67.09733119,8.995468965
2.155336037,1,0.148945,0,0,0,0,0,0,0,0,0,67.09643703,8.99647294
1.255272505,1,0.168107,0,0,0,0,0,0,0,0,0,67.09949601,8.999280931
1.176091259,1,0.168107,0,0,0,0,0,0,0,0,0,67.09949601,8.999453489
1.462397998,0,0.168107,0,0,0,0,0,0,0,0,0,67.09977838,9.000488837
4.690869158,0,0.062497,0,0,0,1,0,0,0,0,0,67.03905362,8.925018203
3.599227863,0,0.052683,0,0,0,1,0,0,0,0,0,67.03648094,8.923104377
2.318063335,0,0.120207,0,0,1,0,0,1,0,0,0,67.06355687,9.40221976
3.671543085,0,0.165824,0,1,0,0,0,0,0,0,0,67.19245776,8.926335919
