"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",0,0.159049300799193,0.106223046369602,0.191595561710123,0.16871116426668,0.148832962838462,0.126377596193986,0.236633186210731,0.152855480605714,0.152173125281881,0.181078977354751,0.174714638913104
"ARE",0.159049300799193,0,0.142253110970652,0.244980509683057,0.105594035514948,0.204501446578376,0.170451386356751,0.257435584809624,0.230982319085151,0.180990627088685,0.248584692168874,0.219796965792597
"BAX",0.106223046369602,0.142253110970652,0,0.136597606363199,0.163186073554874,0.112687616663948,0.0877974961983638,0.141399546130271,0.0972812505478239,0.109662800812163,0.111538883838704,0.0941832039018425
"CAM",0.191595561710123,0.244980509683057,0.136597606363199,0,0.262270883634268,0.125427625014552,0.129124836956217,0.133237512596358,0.155144260589488,0.232777105912557,0.135210524941988,0.12763740664947
"GON",0.16871116426668,0.105594035514948,0.163186073554873,0.262270883634268,0,0.217241152887327,0.183046315175757,0.285451043766121,0.229790239022537,0.196289817612412,0.269418916891175,0.237129421866348
"MEL",0.148832962838462,0.204501446578376,0.112687616663948,0.125427625014552,0.217241152887327,0,0.109885820333037,0.143579937638214,0.140169583441871,0.168837578539859,0.131800424275686,0.110842116471472
"OBL",0.126377596193986,0.170451386356751,0.0877974961983638,0.129124836956217,0.183046315175757,0.109885820333037,0,0.12856420055811,0.0970882216168024,0.178363807814076,0.106509589682671,0.097041114437685
"OVA",0.236633186210731,0.257435584809624,0.141399546130271,0.133237512596358,0.285451043766121,0.143579937638214,0.12856420055811,0,0.150207206663486,0.233287328283659,0.126804468223168,0.125282796842501
"WIL",0.152855480605714,0.230982319085151,0.097281250547824,0.155144260589488,0.229790239022537,0.140169583441871,0.0970882216168024,0.150207206663486,0,0.1764842151398,0.131999245235414,0.101283459790248
"ALP",0.152173125281881,0.180990627088685,0.109662800812163,0.232777105912557,0.196289817612412,0.168837578539859,0.178363807814076,0.233287328283659,0.1764842151398,0,0.260766706396471,0.229527629262544
"VIM",0.181078977354751,0.248584692168874,0.111538883838704,0.135210524941988,0.269418916891175,0.131800424275686,0.106509589682671,0.126804468223168,0.131999245235414,0.260766706396471,0,0.110681055883772
"ARO.SAB",0.174714638913104,0.219796965792597,0.0941832039018426,0.12763740664947,0.237129421866348,0.110842116471472,0.097041114437685,0.125282796842501,0.101283459790248,0.229527629262544,0.110681055883772,0
