"","intercept","depthCM","temperatureC","oxidationReductionPotentialMv","salinityPPT","waterCrowfootRanunculus","rushesJuncusOrScirpus","filamentousAlgae","emergentGrass","ivyLeafedDuckweedLemnaTriscula","bulrushesTypha","reedsPhragmites","marestailHippuris","commonDuckweedLemnaMinor"
"1",2983.23973891632,2784.82415184355,5246.88257220669,495.173863549056,157.980861231084,1721.50613067626,24.5648126631692,1944.54907219322,744.531053625042,3787.86121630035,5104.83746317314,2094.46222976428,6156.56051224278,4219.99246638203
"2",398.873874944688,3417.90479851098,5270.98368217815,312.186702315046,55.1487470964759,184.63159956314,144.968043551382,2031.55479052508,1684.40414485541,3868.2287052367,4646.97759193641,82.6412117084585,5986.8839374127,4614.04289303277
"3",3487.81537140349,4388.47026174948,3448.62102194615,7138.04072918627,180.541958990121,3352.33955669574,4403.19538401021,1345.27927859938,166.569400536016,3936.40333798943,5414.15872624532,108.127148607096,5871.37097668193,2829.5983195746
"4",4367.84755473982,2517.70035335512,2598.67539874113,2192.19248448112,716.376552879346,4044.81590421589,4029.81255574079,194.94050532086,5352.97176286569,3667.00243593076,5018.28981935373,722.108712558022,5031.05443829258,235.728705870286
"5",1333.71530246408,3039.91859962686,956.014790028978,2576.53856051686,351.216088738788,536.573043344714,4414.70011354391,2690.12084366568,308.09826277347,2950.6591261963,4604.1353842314,165.8230341005,4086.62395715406,9589.07208305228
"6",2303.67267901936,3781.60393191976,10487.9621546397,346.846865492739,1043.64897422206,101.561688906805,4533.89698885603,1975.53097636928,457.255483766544,4451.17927614168,5217.42492228619,457.560970289099,4572.22385721406,116.081455027436
"7",7024.08804845929,5538.63180649342,4620.06832731239,2006.07182443537,1138.62961988626,664.535319487045,5667.84797222615,44.7876831609115,702.410855494895,3972.13544481304,5162.59688264273,5482.96770686632,4019.12791026594,765.463525725248
"8",687.610711399321,2099.31367266135,1673.64019394929,2625.72639506026,1121.40669711315,82.5107907465494,3765.6393457026,3533.87478726551,500.03062319172,3904.31324761526,4632.30975819606,6610.68156453665,4085.02110045865,6707.21509758147
"9",3895.60821251358,2366.81888453103,2823.01193866125,724.44507944369,1053.50638043066,596.829265820097,4536.40354523507,1023.92667826882,2989.58057162795,3547.09061769609,137.70794908846,6037.47420142459,4422.84013472844,946.581926294759
"10",1687.99136821236,3785.7702680985,3124.12183894837,249.813119207481,269.784748512957,168.498831338037,3756.44629496706,1811.5557977199,2463.97548278521,4152.38753963675,760.39696357675,6190.7443279765,4120.41662960742,2553.03960988951
"11",3238.50263157551,2107.48250311107,3194.47354064275,708.451482583753,5291.11040485409,1334.41901818682,5189.31090796727,572.526044614016,1038.09184836506,4573.98461718068,140.937508642738,5471.57698667899,4748.8517452142,2770.42392721854
"12",1329.4729433313,2504.51850019279,724.755464576794,630.274463915096,1096.56104256247,163.907764698298,4178.1095924843,56.1982172907181,602.978663179766,5183.85063295592,380.858147929458,5827.58666768198,4596.06862913226,540.185990020776
"13",2307.01622752076,2521.26410309971,7660.28208146274,383.851234567403,3543.25758491182,168.052061008261,4184.31970363432,182.575883055091,3607.96760200032,4516.24851429766,476.794126758281,5792.74887461949,4954.84501447847,3621.92627687426
"14",1254.31279870711,696.524293332131,3833.84277507524,70.8122261677212,645.510377746354,490.958053283587,1978.21439645169,772.969269956157,4027.07168252996,3702.40666921939,364.121740249369,5557.85546169474,4693.28057327363,467.137292733192
"15",2680.75739556016,2621.31467589529,357.697314450551,480.861029552279,268.152211672546,691.975800558244,4103.41220424195,1369.8002842937,3556.22301536789,5275.72045288028,999.06340991278,6237.24863886714,4614.45155071803,574.664177772788
"16",3870.72225273365,1451.76970487446,2658.03836028774,598.739602361478,3294.85974886091,838.316864324757,3969.03638492899,1469.11703951955,3521.37567578227,4464.81021704377,949.066843822348,5699.54851932394,4962.56545147721,1121.04067516549
