"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",10000,9999.99999999997,9999.99999999999,10885.3818823174,10000,9999.99999999999,10000,10000,10000,9715.23898719248,10356.6356382633,10000.0000000001,9999.99999999996,9999.99999999999
"2",10000,10000,10000,10000,9999.99999999995,9999.99999999997,10000,10000,9999.99999999998,9999.99999999999,10000,10000,9999.99999999999,9999.99999999999
"3",10401.8678697091,9562.93710572415,9606.52575791513,10000,10000,10000,10578.5872451971,10000,9999.99999999997,9999.99999999998,8783.72636783287,10000,9999.99999999998,10655.6279582467
"4",10455.4421831243,10391.5814978094,9999.99999999998,10000,9999.99999999999,10000,10427.0095870912,10000,11799.7656512651,10000,10000,10000,10000,10000
"5",9999.99999999996,10323.0206478516,10000,10000.0000000001,9393.13890008221,10220.5156166369,10000,9999.99999999998,9999.99999999998,9704.71692199058,9714.06527699438,10066.0415980277,9999.99999999998,10000
"6",9999.99999999998,10000,9999.99999999999,10000,9999.99999999998,10412.7200435618,9999.99999999999,9999.99999999997,10000,10000,10000.0000000001,10000,10000,10329.018951212
"7",9999.99999999997,10000,10000,10000,10000,10296.8835955916,10000,9999.99999999999,10703.2550909965,9999.99999999999,9999.99999999999,10000,10000,9999.99999999996
"8",10350.3897002003,9999.99999999999,10418.6742073569,10000,9999.99999999999,9999.99999999997,9999.99999999999,10000,10836.6591527708,10425.9808797676,9999.99999999995,10347.5678967248,9999.99999999992,8181.82123443188
"9",10114.0592758719,10359.1710142493,9999.99999999996,10000,10000,10010.8725772261,9999.99999999999,9999.99999999998,10000,9999.99999999999,10000,10273.0044805999,9999.99999999999,9655.15694652374
"10",10000,9816.25485222906,9698.33019707696,10000,10000,9999.99999999996,9999.99999999998,10000,9999.99999999999,9787.48890285005,9999.99999999998,9487.69090934348,9999.99999999999,10000
"11",10293.8268861911,12946.6061314126,10000,10423.1042164699,9999.99999999995,10000,9999.99999999996,9165.4228750951,9999.99999999997,10000,10000,9477.21609830479,9473.78778503725,10000.0000000001
"12",9999.99999999992,9999.99999999997,10000,10000,9999.99999999998,10000,10000,10000,10000,10000,9232.6529494699,10103.7254364846,9999.99999999998,10000
"13",9999.99999999998,9664.6415241002,10000,9999.99999999999,9999.99999999995,10412.1348923171,10000,9999.99999999996,9999.99999999999,10000,10000,9999.99999999997,9999.99999999999,9999.99999999999
"14",9999.99999999996,10195.1097411622,9999.99999999997,10278.2364076444,9999.99999999995,9999.99999999997,10000,10000,10000,9999.99999999998,9999.99999999993,10000,10812.1730318826,10155.8353117142
"15",10000,9999.99999999997,9999.99999999991,9999.99999999997,10000,10000,10114.4361383417,9814.89989747128,9999.99999999993,10248.1537424356,10000,10000,9901.78401969251,10000
"16",10000,9645.72567409012,9999.99999999998,10000,8972.35307401224,10000,10000.0000000001,10000,10000,10107.2928456422,10000,9999.99999999999,9999.99999999999,10000
